plant,treatment,CO2,species,rootLength,shootLength,rootDensity,rootDMC,freshCoarseRootMass,freshFineRootMass,dryCoarseRootMass,dryFineRootMass,coarseRootDMC,fineRootDMC,stemDensity,stemDMC,SLA,LDMC,freshShootBiomass,dryShootBiomass,shootDMC
E1,flooded,E,euc,90.1,69,0.215625,0.297927461,15.806,4.4,3.667,1.526,0.232000506,0.346818182,0.348181818,0.379583746,29.71348979,0.419972987,49.946,18.812,0.376646779
E2,control,E,euc,76,79.5,0.3112,0.287934863,43.471,18.187,10.999,3.544,0.253019254,0.194864464,0.365239295,0.33908214,27.96329114,0.434637514,76.743,28.09,0.366026869
E3,control,E,euc,76,65.5,0.365846682,0.334641549,36.044,3.122,11.695,0.78,0.324464543,0.249839846,0.414500684,0.388960205,28.43133201,0.411769384,59.056,21.882,0.370529667
E4,recovery,E,euc,76,84.5,0.292682927,0.374554102,75.568,18.139,20.705,3.134,0.273991637,0.17277689,0.430951709,0.407259141,29.01786824,0.442044748,84.126,31.783,0.377802344
E5,control,E,euc,80.8,63.5,0.378739656,0.348021057,52.346,5.695,17.669,1.492,0.337542506,0.261984197,0.405591866,0.395538244,26.54327563,0.413781625,67.408,25.868,0.38375267
E6,flooded,E,euc,64.5,66.4,0.302380952,0.291819853,24.117,13.806,5.234,1.778,0.217025335,0.128784586,0.397272727,0.392456219,38.79787077,0.453496969,54.936,21.402,0.389580603
E7,recovery,E,euc,86,83,0.350736278,0.352268908,52.287,24.232,12.105,5.448,0.231510701,0.224826675,0.471922246,0.383165278,28.08847515,0.407601169,86.495,32.44,0.375050581
E8,recovery,E,euc,72,14.62,0.324750192,0.327265686,41.556,17.99,9.254,4.118,0.222687458,0.228904947,0.393412957,0.362091939,28.86988848,0.40828099,72.281,26.517,0.366859894
E9,recovery,E,euc,81,65,0.30406766,0.304435484,25.504,11.551,5.573,1.835,0.218514743,0.158860705,0.382047812,0.343610548,26.65327895,0.421399435,54.392,19.019,0.349665392
E10,flooded,E,euc,95,61,0.2625,0.290536801,13.284,3.116,2.643,0.43,0.198961156,0.137997433,0.384390244,0.378664104,34.77149949,0.447072565,29.656,11.3379,0.382313866
E11,flooded,E,euc,107,76,0.27,0.292418773,38.195,18.395,8.304,3.019,0.217410656,0.164120685,0.37025,0.36886675,27.32267732,0.458291708,104.74,40.341,0.385153714
E12,flooded,E,euc,99.5,26.5,0.25,0.279329609,13.387,1.721,2.418,0.265,0.180622992,0.153980244,0.318,0.367205543,33.08836944,0.375142531,5.939,4.169,0.701970029
E13,recovery,A,euc,100.5,67.5,0.310293386,0.326616069,63.612,3.093,13.287,0.1488,0.208875684,0.048108632,0.465405674,0.375502008,27.00913082,0.376470588,57.865,10.399,0.179711397
E14,flooded,A,euc,PHOTO,photo,0.1965496,0.258718573,16.669,0.535,2.603,0.134,0.156158138,0.25046729,0.376747609,0.342933691,28.71056858,0.409090909,25.451,8.277,0.325213155
E16,control,A,euc,76,54.5,0.34948605,0.314122305,38.654,2.892,9.563,0.495,0.24740001,0.171161826,0.400276052,0.382081686,25.12556448,0.397265429,39.006,14.073,0.360790648
E17,control,A,euc,80.8,76,0.375139978,0.344060253,26.724,5.91,8.903,1.194,0.333146236,0.202030457,0.399512789,0.37357631,30.65568921,0.380398344,63.278,22.691,0.358592244
E18,recovery,A,euc,102,59,0.282909931,0.284222738,19.895,6.642,3.174,0.854,0.159537572,0.12857573,0.354442344,0.347866419,29.16982183,0.36247216,26.762,18.572,0.693969061
E19,recovery,A,euc,126,77,0.341152473,0.349895397,66.166,18.53,16.21,3.116,0.244989874,0.168170534,0.415134559,0.38289506,27.52131195,0.394307181,104.419,37.96,0.363535372
E20,control,A,euc,76,55,0.360443123,0.332917395,38.562,5.544,12.744,1.45,0.330480784,0.261544012,0.385379061,0.374069207,27.13244391,0.35839903,50.442,17.328,0.343523254
E21,recovery,A,euc,77,64,0.30087756,0.301886792,28.966,16.151,6.021,2.402,0.207864393,0.148721441,0.360606061,0.346938776,29.97561728,0.386265432,51.39,17.481,0.340163456
E22,flooded,A,euc,102,76.5,0.268031189,0.303448276,28.569,8.306,6.44,2.182,0.225419161,0.262701661,0.376826029,0.37372407,32.89434678,0.389693209,67.721,23.302,0.344088244
E23,flooded,A,euc,108,68,0.231920725,0.280397655,23.197,24.088,5.271,2.27,0.227227659,0.094237795,0.383996937,0.369429098,30.63583535,0.432445521,71.791,25.29,0.352272569
E24,control,A,euc,76,76,0.376226827,0.346803378,59.107,7.418,17.578,1.648,0.297392864,0.222162308,0.418755402,0.400578752,27.20198675,0.433112583,67.449,26.648,0.395083693
E25,recovery,E,euc,73,63,0.30111055,0.315274841,45.733,20.755,11.083,7.128,0.242341416,0.343435317,0.277998411,0.363699342,27.65087197,0.433602722,60.649,22.683,0.374004518
E26,flooded,E,euc,82,82.5,0.222222222,0.268656716,17.681,10.174,3.651,1.68,0.206492845,0.165126794,0.387126866,0.363716039,32.30160197,0.395769152,57.481,19.69,0.342547972
E27,control,E,euc,79,46.5,0.340101523,0.318909563,34.817,2.744,10.099,1.061,0.290059454,0.386661808,0.393682589,0.386243386,28.24424371,0.410910379,32.942,12.36,0.375204906
E28,flooded,E,euc,83,44.1,0.250172771,0.270351008,12.405,6.492,2.751,1.173,0.221765417,0.180683919,0.420499343,0.365714286,27.43107196,0.415055486,36.907,12.928,0.350285854
E29,recovery,E,euc,77,53.5,0.224570674,0.289608177,16.178,1.805,2.907,0.37,0.179688466,0.20498615,0.369142857,0.356906077,28.12474604,0.35046729,17.063,5.79,0.339330716
E30,recovery,E,euc,70.5,93,0.29813418,0.319031436,35.184,14.48,7.652,2.834,0.217485221,0.195718232,0.393728223,0.367629118,27.8490539,0.431622706,57.304,21.306,0.371806506
E31,flooded,E,euc,86.5,57.7,0.220112214,0.274932615,12.381,3.715,2.684,0.662,0.216783782,0.178196501,0.417624521,0.352522639,32.19961269,0.398033666,29.591,10.374,0.350579568
E32,flooded,E,euc,86,76,0.876380952,0.966799748,37.496,8.737,12.07,1.206,0.321901003,0.13803365,0.474196277,0.399358746,30.77263158,0.414947368,90.971,32.833,0.360917215
E33,control,E,euc,73.5,68.5,0.392420843,0.360265507,40.344,6.774,14.074,1.185,0.348849891,0.17493357,0.437301587,0.402925046,26.3670342,0.450850308,75.269,30.241,0.40177231
E34,control,E,euc,70.7,55.5,0.352922886,0.325588067,38.894,6.977,12.503,2.175,0.321463465,0.31173857,0.39946687,0.37491065,31.61063897,0.398069458,59.837,21.879,0.365643331
E35,recovery,E,euc,75.5,88,0.329012961,0.305980529,31.409,25.905,7.58,5.672,0.241332102,0.21895387,0.384140969,0.362728785,28.34974629,0.437511746,69.115,26.337,0.381060551
E36,control,E,euc,75,57,0.363705972,0.351331361,32.936,7.331,11.065,1.87,0.335954579,0.255081162,0.427945205,0.397860418,27.63536472,0.382385259,49.706,18.1,0.36414115
E37,flooded,A,euc,81,53,0.27563249,0.267614738,13.724,7.251,2.854,1.765,0.207956864,0.243414701,0.389620449,0.332892124,33.18286476,0.373121667,39.671,12.543,0.316175544
E38,control,A,euc,77,59.5,0.29604245,0.275911807,43.105,11.919,10.863,2.638,0.252012528,0.221327293,0.358836207,0.33546004,32.93104175,0.397089836,82.58,28.835,0.349176556
E39,control,A,euc,88,62,0.333959605,0.308794788,45.506,11.305,13.151,3.076,0.288994858,0.272091995,0.358761329,0.343208092,51.15728587,0.388876529,64.715,22.694,0.350676041
E40,flooded,A,euc,83,54.5,0.268276762,0.252147239,14.187,7.445,2.909,1.122,0.205046874,0.150705171,0.350536193,0.304601048,32.1470148,0.366372859,44.313,13.156,0.296888046
