plant,GH_start,treatment,CO2,species,dryCoarseRootMass,dryFineRootMass,coarseRootDMC,fineRootDMC,SLA,LDMC,dryShootBiomass,shootDMC,dryRootBiomass,RGRshoot,RGRfineRoot,RGRcoarseRoot,RGRroot,RMF,allrootDMC,dryBiomass,rootFineProportion,stemDMC,stemDensity,rootDensity,root density
C31,4,control,E,cas,6.341,2.395,0.296349956,0.202571259,21.7599278,0.343862816,14.069,0.363643413,8.736,0.0722,0.013305556,0.035227778,0.048533333,0.383073887,0.159760104,22.805,0.27415293,0.40115942,0.454366382,0.344262295,0.387351779
C32,4,waterlogged,E,cas,1.172,0.757,0.284880895,0.2304414,21.40220588,0.350735294,4.908,0.333627897,1.929,0.026980263,0.004980263,0.007710526,0.012690789,0.28214129,0.248541304,6.837,0.392431312,0.372040586,0.408921933,0.302571861,0.309751434
C33,4,recovery,E,cas,7.92,4.975,0.240766074,0.17068652,21.4813154,0.3632287,16.225,0.366467904,12.895,0.082222222,0.027638889,0.044,0.071638889,0.442822802,0.18853482,29.12,0.385808453,0.398556876,0.446930033,0.341823056,0.396592244
C34,4,waterlogged,E,cas,3.017,1.074,0.24466791,0.168391345,16.77577465,0.336338028,11.764,0.307025786,4.091,0.068243421,0.007065789,0.019848684,0.026914474,0.258025859,0.251125093,15.855,0.262527499,0.336868901,0.360745116,0.404199475,0.298657718
C35,4,control,E,cas,6.102,2.166,0.293027276,0.391823444,18.87719298,0.325614035,9.841,0.351790949,8.268,0.048572222,0.012033333,0.0339,0.045933333,0.456568557,0.209007433,18.109,0.261973875,0.409032258,0.453505007,0.283707865,0.351898734
C36,4,waterlogged,E,cas,2.231,1.455,0.215368279,0.21105309,20.12699514,0.400416378,6.397,0.369576521,3.686,0.035644737,0.009572368,0.014677632,0.02425,0.365565804,0.249340525,10.083,0.394736842,0.361510791,0.400398406,0.352154532,0.355481728
C37,5,control,A,cas,3.937,1.364,0.174195832,0.128922495,18.76006441,0.353193773,8.484,0.329207248,5.301,0.041361111,0.007577778,0.021872222,0.02945,0.384548422,0.231460907,13.785,0.257309942,0.364593301,0.405750799,0.383810188,0.344262295
C38,5,waterlogged,A,cas,1.433,0.995,0.240638119,0.260880965,22.58165939,0.32489083,6.11,0.317254271,2.428,0.034710526,0.006546053,0.009427632,0.015973684,0.284375732,0.171032735,8.538,0.409802306,0.329764454,0.362637363,0.361403509,0.302571861
C39,5,waterlogged,A,cas,1.869,0.397,0.263833992,0.080445795,22.79452055,0.337899543,7.528,0.314164093,2.266,0.043539474,0.002611842,0.012296053,0.014907895,0.231366143,0.182127607,9.794,0.175198588,0.33915575,0.374598071,0.348998459,0.341823056
C40,5,waterlogged,A,cas,0.645,0.311,0.240312966,0.164550265,20.19836957,0.277173913,3.063,0.277521066,0.956,0.016717105,0.002046053,0.004243421,0.006289474,0.237870117,0.211599902,4.019,0.325313808,0.292682927,0.318584071,0.334862385,0.283707865
